scenario,seed,policy,bugs_at_20,bugs_at_50,tests_to_all
semantic_themes,4,GP+UCB (TF-IDF + SVD),8,13,32
semantic_themes,4,Diversity (Multilingual E5),2,8,67
semantic_themes,4,GP+UCB (Multilingual E5),9,13,39
semantic_themes,5,Random,4,12,69
semantic_themes,5,QA order,2,7,64
semantic_themes,5,Feature-stratified,4,11,66
semantic_themes,5,Diversity (One-Hot),4,11,56
semantic_themes,5,GP+UCB (One-Hot),6,10,61
semantic_themes,5,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,5,GP+UCB (TF-IDF + SVD),8,13,27
semantic_themes,5,Diversity (Multilingual E5),2,9,67
semantic_themes,5,GP+UCB (Multilingual E5),9,13,41
semantic_themes,6,Random,4,8,69
semantic_themes,6,QA order,3,8,64
semantic_themes,6,Feature-stratified,6,8,58
semantic_themes,6,Diversity (One-Hot),4,10,66
semantic_themes,6,GP+UCB (One-Hot),7,10,61
semantic_themes,6,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,6,GP+UCB (TF-IDF + SVD),10,13,27
semantic_themes,6,Diversity (Multilingual E5),4,8,67
semantic_themes,6,GP+UCB (Multilingual E5),10,13,26
semantic_themes,7,Random,6,9,69
semantic_themes,7,QA order,2,7,64
semantic_themes,7,Feature-stratified,5,9,69
semantic_themes,7,Diversity (One-Hot),2,10,66
semantic_themes,7,GP+UCB (One-Hot),7,10,63
semantic_themes,7,Diversity (TF-IDF + SVD),4,8,69
semantic_themes,7,GP+UCB (TF-IDF + SVD),9,13,25
semantic_themes,7,Diversity (Multilingual E5),3,9,67
semantic_themes,7,GP+UCB (Multilingual E5),10,13,23
semantic_themes,8,Random,2,7,68
semantic_themes,8,QA order,1,7,64
semantic_themes,8,Feature-stratified,4,10,64
semantic_themes,8,Diversity (One-Hot),3,10,66
semantic_themes,8,GP+UCB (One-Hot),7,10,61
semantic_themes,8,Diversity (TF-IDF + SVD),3,9,69
semantic_themes,8,GP+UCB (TF-IDF + SVD),5,13,30
semantic_themes,8,Diversity (Multilingual E5),3,9,67
semantic_themes,8,GP+UCB (Multilingual E5),9,10,53
semantic_themes,9,Random,6,9,64
semantic_themes,9,QA order,3,8,64
semantic_themes,9,Feature-stratified,4,8,68
semantic_themes,9,Diversity (One-Hot),5,10,66
semantic_themes,9,GP+UCB (One-Hot),8,10,61
semantic_themes,9,Diversity (TF-IDF + SVD),3,9,69
semantic_themes,9,GP+UCB (TF-IDF + SVD),8,13,28
semantic_themes,9,Diversity (Multilingual E5),4,8,67
semantic_themes,9,GP+UCB (Multilingual E5),11,13,25
semantic_themes,10,Random,7,10,66
semantic_themes,10,QA order,2,8,64
semantic_themes,10,Feature-stratified,4,9,68
semantic_themes,10,Diversity (One-Hot),5,11,66
semantic_themes,10,GP+UCB (One-Hot),7,12,57
semantic_themes,10,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,10,GP+UCB (TF-IDF + SVD),8,13,28
semantic_themes,10,Diversity (Multilingual E5),2,9,67
semantic_themes,10,GP+UCB (Multilingual E5),9,11,52
semantic_themes,11,Random,5,8,68
semantic_themes,11,QA order,4,8,64
semantic_themes,11,Feature-stratified,5,9,68
semantic_themes,11,Diversity (One-Hot),6,10,66
semantic_themes,11,GP+UCB (One-Hot),9,11,61
semantic_themes,11,Diversity (TF-IDF + SVD),5,9,69
semantic_themes,11,GP+UCB (TF-IDF + SVD),9,13,28
semantic_themes,11,Diversity (Multilingual E5),4,8,67
semantic_themes,11,GP+UCB (Multilingual E5),12,13,21
semantic_themes,12,Random,4,10,68
semantic_themes,12,QA order,1,7,64
semantic_themes,12,Feature-stratified,4,9,69
semantic_themes,12,Diversity (One-Hot),3,10,66
semantic_themes,12,GP+UCB (One-Hot),6,10,62
semantic_themes,12,Diversity (TF-IDF + SVD),3,9,69
semantic_themes,12,GP+UCB (TF-IDF + SVD),8,13,31
semantic_themes,12,Diversity (Multilingual E5),2,7,67
semantic_themes,12,GP+UCB (Multilingual E5),9,11,52
semantic_themes,13,Random,5,10,65
semantic_themes,13,QA order,2,8,64
semantic_themes,13,Feature-stratified,5,10,56
semantic_themes,13,Diversity (One-Hot),3,10,66
semantic_themes,13,GP+UCB (One-Hot),6,10,63
semantic_themes,13,Diversity (TF-IDF + SVD),4,8,69
semantic_themes,13,GP+UCB (TF-IDF + SVD),8,13,27
semantic_themes,13,Diversity (Multilingual E5),3,9,67
semantic_themes,13,GP+UCB (Multilingual E5),10,13,28
semantic_themes,14,Random,1,8,67
semantic_themes,14,QA order,0,6,65
semantic_themes,14,Feature-stratified,5,10,68
semantic_themes,14,Diversity (One-Hot),1,9,66
semantic_themes,14,GP+UCB (One-Hot),5,10,62
semantic_themes,14,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,14,GP+UCB (TF-IDF + SVD),7,13,28
semantic_themes,14,Diversity (Multilingual E5),2,9,67
semantic_themes,14,GP+UCB (Multilingual E5),5,12,51
semantic_themes,15,Random,2,10,64
semantic_themes,15,QA order,2,7,64
semantic_themes,15,Feature-stratified,6,11,66
semantic_themes,15,Diversity (One-Hot),5,11,56
semantic_themes,15,GP+UCB (One-Hot),8,10,61
semantic_themes,15,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,15,GP+UCB (TF-IDF + SVD),9,13,30
semantic_themes,15,Diversity (Multilingual E5),2,9,67
semantic_themes,15,GP+UCB (Multilingual E5),9,13,40
semantic_themes,16,Random,3,11,67
semantic_themes,16,QA order,1,7,65
semantic_themes,16,Feature-stratified,5,9,69
semantic_themes,16,Diversity (One-Hot),2,9,66
semantic_themes,16,GP+UCB (One-Hot),5,10,61
semantic_themes,16,Diversity (TF-IDF + SVD),3,9,69
semantic_themes,16,GP+UCB (TF-IDF + SVD),7,13,29
semantic_themes,16,Diversity (Multilingual E5),3,8,67
semantic_themes,16,GP+UCB (Multilingual E5),4,13,37
semantic_themes,17,Random,4,9,60
semantic_themes,17,QA order,2,8,64
semantic_themes,17,Feature-stratified,4,8,63
semantic_themes,17,Diversity (One-Hot),3,10,66
semantic_themes,17,GP+UCB (One-Hot),7,10,61
semantic_themes,17,Diversity (TF-IDF + SVD),4,8,69
semantic_themes,17,GP+UCB (TF-IDF + SVD),8,13,28
semantic_themes,17,Diversity (Multilingual E5),3,8,67
semantic_themes,17,GP+UCB (Multilingual E5),11,13,25
semantic_themes,18,Random,3,9,62
semantic_themes,18,QA order,1,6,65
semantic_themes,18,Feature-stratified,4,11,68
semantic_themes,18,Diversity (One-Hot),1,9,66
semantic_themes,18,GP+UCB (One-Hot),5,10,61
semantic_themes,18,Diversity (TF-IDF + SVD),2,9,69
semantic_themes,18,GP+UCB (TF-IDF + SVD),6,13,30
semantic_themes,18,Diversity (Multilingual E5),2,9,67
semantic_themes,18,GP+UCB (Multilingual E5),4,13,39
semantic_themes,19,Random,5,10,67
semantic_themes,19,QA order,1,7,64
semantic_themes,19,Feature-stratified,5,9,66
semantic_themes,19,Diversity (One-Hot),3,10,66
semantic_themes,19,GP+UCB (One-Hot),6,10,61
semantic_themes,19,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,19,GP+UCB (TF-IDF + SVD),8,13,31
semantic_themes,19,Diversity (Multilingual E5),2,8,67
semantic_themes,19,GP+UCB (Multilingual E5),9,13,41
semantic_themes,20,Random,3,8,64
semantic_themes,20,QA order,3,8,64
semantic_themes,20,Feature-stratified,5,10,69
semantic_themes,20,Diversity (One-Hot),4,10,66
semantic_themes,20,GP+UCB (One-Hot),7,10,62
semantic_themes,20,Diversity (TF-IDF + SVD),5,9,69
semantic_themes,20,GP+UCB (TF-IDF + SVD),8,13,29
semantic_themes,20,Diversity (Multilingual E5),4,9,67
semantic_themes,20,GP+UCB (Multilingual E5),10,13,23
semantic_themes,21,Random,2,8,68
semantic_themes,21,QA order,1,7,64
semantic_themes,21,Feature-stratified,4,7,66
semantic_themes,21,Diversity (One-Hot),2,10,66
semantic_themes,21,GP+UCB (One-Hot),7,10,61
semantic_themes,21,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,21,GP+UCB (TF-IDF + SVD),8,13,27
semantic_themes,21,Diversity (Multilingual E5),3,8,67
semantic_themes,21,GP+UCB (Multilingual E5),9,13,46
semantic_themes,22,Random,6,9,57
semantic_themes,22,QA order,2,8,64
semantic_themes,22,Feature-stratified,3,6,69
semantic_themes,22,Diversity (One-Hot),3,10,66
semantic_themes,22,GP+UCB (One-Hot),7,10,61
semantic_themes,22,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,22,GP+UCB (TF-IDF + SVD),9,13,29
semantic_themes,22,Diversity (Multilingual E5),3,8,67
semantic_themes,22,GP+UCB (Multilingual E5),10,13,24
semantic_themes,23,Random,1,7,66
semantic_themes,23,QA order,0,6,65
semantic_themes,23,Feature-stratified,2,8,66
semantic_themes,23,Diversity (One-Hot),2,9,66
semantic_themes,23,GP+UCB (One-Hot),5,10,61
semantic_themes,23,Diversity (TF-IDF + SVD),3,9,69
semantic_themes,23,GP+UCB (TF-IDF + SVD),6,13,28
semantic_themes,23,Diversity (Multilingual E5),2,9,67
semantic_themes,23,GP+UCB (Multilingual E5),8,11,52
semantic_themes,24,Random,4,12,53
semantic_themes,24,QA order,1,7,64
semantic_themes,24,Feature-stratified,3,9,66
semantic_themes,24,Diversity (One-Hot),4,10,66
semantic_themes,24,GP+UCB (One-Hot),7,10,63
semantic_themes,24,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,24,GP+UCB (TF-IDF + SVD),8,13,30
semantic_themes,24,Diversity (Multilingual E5),2,8,67
semantic_themes,24,GP+UCB (Multilingual E5),9,13,50
scattered_random,0,Random,4,8,69
scattered_random,0,QA order,3,10,68
scattered_random,0,Feature-stratified,4,10,66
scattered_random,0,Diversity (One-Hot),3,7,69
scattered_random,0,GP+UCB (One-Hot),2,10,69
scattered_random,0,Diversity (TF-IDF + SVD),2,12,64
scattered_random,0,GP+UCB (TF-IDF + SVD),2,11,56
scattered_random,0,Diversity (Multilingual E5),4,9,68
scattered_random,0,GP+UCB (Multilingual E5),4,11,66
scattered_random,1,Random,4,6,69
scattered_random,1,QA order,4,7,63
scattered_random,1,Feature-stratified,6,10,65
scattered_random,1,Diversity (One-Hot),5,9,66
scattered_random,1,GP+UCB (One-Hot),6,11,65
scattered_random,1,Diversity (TF-IDF + SVD),4,10,61
scattered_random,1,GP+UCB (TF-IDF + SVD),3,10,69
scattered_random,1,Diversity (Multilingual E5),3,9,67
scattered_random,1,GP+UCB (Multilingual E5),3,9,67
scattered_random,2,Random,6,9,69
scattered_random,2,QA order,4,9,67
scattered_random,2,Feature-stratified,4,12,51
scattered_random,2,Diversity (One-Hot),5,11,67
scattered_random,2,GP+UCB (One-Hot),6,12,52
scattered_random,2,Diversity (TF-IDF + SVD),5,9,62
scattered_random,2,GP+UCB (TF-IDF + SVD),6,11,60
scattered_random,2,Diversity (Multilingual E5),6,9,67
scattered_random,2,GP+UCB (Multilingual E5),6,11,64
scattered_random,3,Random,4,11,69
scattered_random,3,QA order,3,10,62
scattered_random,3,Feature-stratified,2,9,69
scattered_random,3,Diversity (One-Hot),4,11,63
scattered_random,3,GP+UCB (One-Hot),4,11,66
scattered_random,3,Diversity (TF-IDF + SVD),3,11,69
scattered_random,3,GP+UCB (TF-IDF + SVD),4,12,55
scattered_random,3,Diversity (Multilingual E5),4,8,68
scattered_random,3,GP+UCB (Multilingual E5),3,10,64
scattered_random,4,Random,3,11,57
scattered_random,4,QA order,1,8,68
scattered_random,4,Feature-stratified,4,8,66
scattered_random,4,Diversity (One-Hot),3,9,65
scattered_random,4,GP+UCB (One-Hot),4,9,64
scattered_random,4,Diversity (TF-IDF + SVD),3,11,58
scattered_random,4,GP+UCB (TF-IDF + SVD),2,11,63
scattered_random,4,Diversity (Multilingual E5),2,11,59
scattered_random,4,GP+UCB (Multilingual E5),2,8,66
scattered_random,5,Random,0,8,69
scattered_random,5,QA order,3,7,67
scattered_random,5,Feature-stratified,3,9,68
scattered_random,5,Diversity (One-Hot),2,5,67
scattered_random,5,GP+UCB (One-Hot),1,9,66
scattered_random,5,Diversity (TF-IDF + SVD),3,10,68
scattered_random,5,GP+UCB (TF-IDF + SVD),4,10,69
scattered_random,5,Diversity (Multilingual E5),2,9,67
scattered_random,5,GP+UCB (Multilingual E5),4,9,62
scattered_random,6,Random,3,9,67
scattered_random,6,QA order,4,9,64
scattered_random,6,Feature-stratified,5,10,64
scattered_random,6,Diversity (One-Hot),4,8,66
scattered_random,6,GP+UCB (One-Hot),4,7,66
scattered_random,6,Diversity (TF-IDF + SVD),4,10,69
scattered_random,6,GP+UCB (TF-IDF + SVD),4,11,58
scattered_random,6,Diversity (Multilingual E5),5,8,68
scattered_random,6,GP+UCB (Multilingual E5),3,11,69
scattered_random,7,Random,3,12,62
scattered_random,7,QA order,2,8,67
scattered_random,7,Feature-stratified,3,8,69
scattered_random,7,Diversity (One-Hot),2,9,69
scattered_random,7,GP+UCB (One-Hot),3,7,68
scattered_random,7,Diversity (TF-IDF + SVD),4,11,64
scattered_random,7,GP+UCB (TF-IDF + SVD),3,8,64
scattered_random,7,Diversity (Multilingual E5),4,10,68
scattered_random,7,GP+UCB (Multilingual E5),4,10,65
scattered_random,8,Random,3,9,68
scattered_random,8,QA order,6,11,64
scattered_random,8,Feature-stratified,4,11,57
scattered_random,8,Diversity (One-Hot),4,10,69
scattered_random,8,GP+UCB (One-Hot),3,9,68
scattered_random,8,Diversity (TF-IDF + SVD),2,10,63
scattered_random,8,GP+UCB (TF-IDF + SVD),5,10,64
scattered_random,8,Diversity (Multilingual E5),3,9,68
scattered_random,8,GP+UCB (Multilingual E5),3,10,69
scattered_random,9,Random,3,7,68
scattered_random,9,QA order,3,10,65
scattered_random,9,Feature-stratified,7,11,68
scattered_random,9,Diversity (One-Hot),4,11,56
scattered_random,9,GP+UCB (One-Hot),3,9,64
scattered_random,9,Diversity (TF-IDF + SVD),3,12,63
scattered_random,9,GP+UCB (TF-IDF + SVD),4,11,56
scattered_random,9,Diversity (Multilingual E5),6,12,62
scattered_random,9,GP+UCB (Multilingual E5),6,10,61
scattered_random,10,Random,5,9,60
scattered_random,10,QA order,4,11,68
scattered_random,10,Feature-stratified,5,11,65
scattered_random,10,Diversity (One-Hot),5,10,68
scattered_random,10,GP+UCB (One-Hot),2,8,69
scattered_random,10,Diversity (TF-IDF + SVD),2,11,62
scattered_random,10,GP+UCB (TF-IDF + SVD),4,12,56
scattered_random,10,Diversity (Multilingual E5),3,6,66
scattered_random,10,GP+UCB (Multilingual E5),3,10,69
scattered_random,11,Random,3,11,67
scattered_random,11,QA order,5,12,62
scattered_random,11,Feature-stratified,5,9,63
scattered_random,11,Diversity (One-Hot),5,11,63
scattered_random,11,GP+UCB (One-Hot),2,8,68
scattered_random,11,Diversity (TF-IDF + SVD),3,10,66
scattered_random,11,GP+UCB (TF-IDF + SVD),5,9,66
scattered_random,11,Diversity (Multilingual E5),5,6,69
scattered_random,11,GP+UCB (Multilingual E5),4,8,67
scattered_random,12,Random,3,10,65
scattered_random,12,QA order,4,9,64
scattered_random,12,Feature-stratified,1,9,69
scattered_random,12,Diversity (One-Hot),4,10,62
scattered_random,12,GP+UCB (One-Hot),4,12,58
scattered_random,12,Diversity (TF-IDF + SVD),1,10,61
scattered_random,12,GP+UCB (TF-IDF + SVD),1,8,64
scattered_random,12,Diversity (Multilingual E5),2,9,68
scattered_random,12,GP+UCB (Multilingual E5),1,7,68
scattered_random,13,Random,3,11,67
scattered_random,13,QA order,2,9,64
scattered_random,13,Feature-stratified,2,9,68
scattered_random,13,Diversity (One-Hot),5,10,66
scattered_random,13,GP+UCB (One-Hot),4,10,64
scattered_random,13,Diversity (TF-IDF + SVD),1,7,69
scattered_random,13,GP+UCB (TF-IDF + SVD),3,7,69
scattered_random,13,Diversity (Multilingual E5),2,9,65
scattered_random,13,GP+UCB (Multilingual E5),3,7,66
scattered_random,14,Random,7,10,66
scattered_random,14,QA order,2,8,65
scattered_random,14,Feature-stratified,1,10,65
scattered_random,14,Diversity (One-Hot),2,9,58
scattered_random,14,GP+UCB (One-Hot),2,11,64
scattered_random,14,Diversity (TF-IDF + SVD),1,9,62
scattered_random,14,GP+UCB (TF-IDF + SVD),2,9,63
scattered_random,14,Diversity (Multilingual E5),2,10,59
scattered_random,14,GP+UCB (Multilingual E5),3,11,60
scattered_random,15,Random,5,8,63
scattered_random,15,QA order,5,9,65
scattered_random,15,Feature-stratified,5,11,65
scattered_random,15,Diversity (One-Hot),6,9,69
scattered_random,15,GP+UCB (One-Hot),4,11,69
scattered_random,15,Diversity (TF-IDF + SVD),3,8,68
scattered_random,15,GP+UCB (TF-IDF + SVD),5,12,57
scattered_random,15,Diversity (Multilingual E5),4,10,66
scattered_random,15,GP+UCB (Multilingual E5),5,10,67
scattered_random,16,Random,2,8,66
scattered_random,16,QA order,2,8,67
scattered_random,16,Feature-stratified,4,10,63
scattered_random,16,Diversity (One-Hot),4,10,67
scattered_random,16,GP+UCB (One-Hot),6,10,63
scattered_random,16,Diversity (TF-IDF + SVD),5,10,67
scattered_random,16,GP+UCB (TF-IDF + SVD),6,11,63
scattered_random,16,Diversity (Multilingual E5),5,11,66
scattered_random,16,GP+UCB (Multilingual E5),6,9,58
scattered_random,17,Random,5,11,60
scattered_random,17,QA order,4,10,63
scattered_random,17,Feature-stratified,2,8,65
scattered_random,17,Diversity (One-Hot),3,9,66
scattered_random,17,GP+UCB (One-Hot),3,8,66
scattered_random,17,Diversity (TF-IDF + SVD),6,9,67
scattered_random,17,GP+UCB (TF-IDF + SVD),3,8,68
scattered_random,17,Diversity (Multilingual E5),2,8,67
scattered_random,17,GP+UCB (Multilingual E5),2,7,67
scattered_random,18,Random,2,6,61
scattered_random,18,QA order,4,10,65
scattered_random,18,Feature-stratified,5,11,68
scattered_random,18,Diversity (One-Hot),3,10,68
scattered_random,18,GP+UCB (One-Hot),4,11,69
scattered_random,18,Diversity (TF-IDF + SVD),4,9,66
scattered_random,18,GP+UCB (TF-IDF + SVD),3,6,69
scattered_random,18,Diversity (Multilingual E5),3,10,67
scattered_random,18,GP+UCB (Multilingual E5),4,10,69
scattered_random,19,Random,3,7,65
scattered_random,19,QA order,2,9,65
scattered_random,19,Feature-stratified,1,10,68
scattered_random,19,Diversity (One-Hot),1,9,69
scattered_random,19,GP+UCB (One-Hot),1,8,69
scattered_random,19,Diversity (TF-IDF + SVD),1,9,67
scattered_random,19,GP+UCB (TF-IDF + SVD),2,11,68
scattered_random,19,Diversity (Multilingual E5),3,9,67
scattered_random,19,GP+UCB (Multilingual E5),3,11,68
scattered_random,20,Random,4,10,66
scattered_random,20,QA order,4,11,59
scattered_random,20,Feature-stratified,2,9,68
scattered_random,20,Diversity (One-Hot),2,11,65
scattered_random,20,GP+UCB (One-Hot),2,9,60
scattered_random,20,Diversity (TF-IDF + SVD),0,8,67
scattered_random,20,GP+UCB (TF-IDF + SVD),1,8,66
scattered_random,20,Diversity (Multilingual E5),3,8,65
scattered_random,20,GP+UCB (Multilingual E5),3,10,67
scattered_random,21,Random,4,9,67
scattered_random,21,QA order,6,9,67
scattered_random,21,Feature-stratified,5,10,69
scattered_random,21,Diversity (One-Hot),1,5,68
scattered_random,21,GP+UCB (One-Hot),2,6,69
scattered_random,21,Diversity (TF-IDF + SVD),2,6,68
scattered_random,21,GP+UCB (TF-IDF + SVD),2,8,69
scattered_random,21,Diversity (Multilingual E5),2,6,69
scattered_random,21,GP+UCB (Multilingual E5),3,11,69
scattered_random,22,Random,5,9,63
scattered_random,22,QA order,6,9,69
scattered_random,22,Feature-stratified,7,10,60
scattered_random,22,Diversity (One-Hot),5,9,69
scattered_random,22,GP+UCB (One-Hot),6,12,57
scattered_random,22,Diversity (TF-IDF + SVD),6,12,53
scattered_random,22,GP+UCB (TF-IDF + SVD),6,12,60
scattered_random,22,Diversity (Multilingual E5),8,12,64
scattered_random,22,GP+UCB (Multilingual E5),8,10,64
scattered_random,23,Random,7,12,62
scattered_random,23,QA order,5,10,65
scattered_random,23,Feature-stratified,5,11,62
scattered_random,23,Diversity (One-Hot),4,9,62
scattered_random,23,GP+UCB (One-Hot),4,9,64
scattered_random,23,Diversity (TF-IDF + SVD),7,10,59
scattered_random,23,GP+UCB (TF-IDF + SVD),5,11,66
scattered_random,23,Diversity (Multilingual E5),7,10,58
scattered_random,23,GP+UCB (Multilingual E5),5,12,56
scattered_random,24,Random,3,8,69
scattered_random,24,QA order,4,11,65
scattered_random,24,Feature-stratified,6,8,69
scattered_random,24,Diversity (One-Hot),4,8,69
scattered_random,24,GP+UCB (One-Hot),3,9,69
scattered_random,24,Diversity (TF-IDF + SVD),4,11,64
scattered_random,24,GP+UCB (TF-IDF + SVD),4,8,60
scattered_random,24,Diversity (Multilingual E5),4,8,67
scattered_random,24,GP+UCB (Multilingual E5),4,11,60
single_feature,0,Random,2,8,69
single_feature,0,QA order,0,8,58
single_feature,0,Feature-stratified,1,4,69
single_feature,0,Diversity (One-Hot),2,7,66
single_feature,0,GP+UCB (One-Hot),9,13,36
single_feature,0,Diversity (TF-IDF + SVD),4,9,68
single_feature,0,GP+UCB (TF-IDF + SVD),4,11,59
single_feature,0,Diversity (Multilingual E5),4,11,58
single_feature,0,GP+UCB (Multilingual E5),5,12,55
single_feature,1,Random,3,8,66
single_feature,1,QA order,0,8,58
single_feature,1,Feature-stratified,1,6,68
single_feature,1,Diversity (One-Hot),1,5,66
single_feature,1,GP+UCB (One-Hot),5,13,43
single_feature,1,Diversity (TF-IDF + SVD),5,9,68
single_feature,1,GP+UCB (TF-IDF + SVD),2,11,57
single_feature,1,Diversity (Multilingual E5),3,11,58
single_feature,1,GP+UCB (Multilingual E5),2,11,55
single_feature,2,Random,3,9,62
single_feature,2,QA order,1,6,58
single_feature,2,Feature-stratified,2,4,68
single_feature,2,Diversity (One-Hot),2,5,66
single_feature,2,GP+UCB (One-Hot),7,13,38
single_feature,2,Diversity (TF-IDF + SVD),4,9,68
single_feature,2,GP+UCB (TF-IDF + SVD),6,13,40
single_feature,2,Diversity (Multilingual E5),4,12,54
single_feature,2,GP+UCB (Multilingual E5),5,13,43
single_feature,3,Random,4,8,59
single_feature,3,QA order,1,9,58
single_feature,3,Feature-stratified,2,7,69
single_feature,3,Diversity (One-Hot),1,8,66
single_feature,3,GP+UCB (One-Hot),8,13,42
single_feature,3,Diversity (TF-IDF + SVD),2,9,64
single_feature,3,GP+UCB (TF-IDF + SVD),5,11,55
single_feature,3,Diversity (Multilingual E5),4,11,67
single_feature,3,GP+UCB (Multilingual E5),5,13,45
single_feature,4,Random,3,9,67
single_feature,4,QA order,1,13,40
single_feature,4,Feature-stratified,3,8,63
single_feature,4,Diversity (One-Hot),3,13,45
single_feature,4,GP+UCB (One-Hot),11,13,26
single_feature,4,Diversity (TF-IDF + SVD),3,8,67
single_feature,4,GP+UCB (TF-IDF + SVD),8,12,60
single_feature,4,Diversity (Multilingual E5),3,8,68
single_feature,4,GP+UCB (Multilingual E5),8,13,37
single_feature,5,Random,3,9,65
single_feature,5,QA order,1,7,58
single_feature,5,Feature-stratified,1,3,68
single_feature,5,Diversity (One-Hot),3,7,66
single_feature,5,GP+UCB (One-Hot),6,13,32
single_feature,5,Diversity (TF-IDF + SVD),4,12,57
single_feature,5,GP+UCB (TF-IDF + SVD),7,12,62
single_feature,5,Diversity (Multilingual E5),3,11,54
single_feature,5,GP+UCB (Multilingual E5),6,13,38
single_feature,6,Random,4,10,66
single_feature,6,QA order,1,13,40
single_feature,6,Feature-stratified,3,7,63
single_feature,6,Diversity (One-Hot),4,13,45
single_feature,6,GP+UCB (One-Hot),10,13,24
single_feature,6,Diversity (TF-IDF + SVD),3,8,67
single_feature,6,GP+UCB (TF-IDF + SVD),6,13,33
single_feature,6,Diversity (Multilingual E5),3,8,68
single_feature,6,GP+UCB (Multilingual E5),9,13,44
single_feature,7,Random,4,10,64
single_feature,7,QA order,1,13,40
single_feature,7,Feature-stratified,3,8,63
single_feature,7,Diversity (One-Hot),3,13,45
single_feature,7,GP+UCB (One-Hot),11,13,22
single_feature,7,Diversity (TF-IDF + SVD),3,8,67
single_feature,7,GP+UCB (TF-IDF + SVD),9,13,32
single_feature,7,Diversity (Multilingual E5),3,9,68
single_feature,7,GP+UCB (Multilingual E5),9,13,27
single_feature,8,Random,3,8,69
single_feature,8,QA order,1,13,40
single_feature,8,Feature-stratified,3,7,63
single_feature,8,Diversity (One-Hot),2,13,45
single_feature,8,GP+UCB (One-Hot),10,13,24
single_feature,8,Diversity (TF-IDF + SVD),3,9,67
single_feature,8,GP+UCB (TF-IDF + SVD),7,13,34
single_feature,8,Diversity (Multilingual E5),3,9,68
single_feature,8,GP+UCB (Multilingual E5),9,13,45
single_feature,9,Random,7,13,48
single_feature,9,QA order,1,13,40
single_feature,9,Feature-stratified,2,7,63
single_feature,9,Diversity (One-Hot),2,13,45
single_feature,9,GP+UCB (One-Hot),10,13,24
single_feature,9,Diversity (TF-IDF + SVD),3,8,67
single_feature,9,GP+UCB (TF-IDF + SVD),6,13,34
single_feature,9,Diversity (Multilingual E5),2,8,68
single_feature,9,GP+UCB (Multilingual E5),8,13,29
single_feature,10,Random,3,10,56
single_feature,10,QA order,0,8,58
single_feature,10,Feature-stratified,0,5,68
single_feature,10,Diversity (One-Hot),2,8,66
single_feature,10,GP+UCB (One-Hot),8,13,38
single_feature,10,Diversity (TF-IDF + SVD),3,9,62
single_feature,10,GP+UCB (TF-IDF + SVD),4,12,60
